date,group,dissent
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.25
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.33333333333333337
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.4
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.04166666666666663
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.04166666666666663
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.04347826086956519
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,
2019-03-15,"Groupe UDI, Agir et Indépendants",0.33333333333333337
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.11538461538461542
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.33333333333333337
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",
2019-03-15,Groupe La France insoumise,
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.1428571428571429
2019-03-15,Groupe Les Républicains,0.16666666666666663
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.33333333333333337
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.04347826086956519
2019-03-15,Groupe Les Républicains,0.1428571428571429
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.25
2019-03-15,"Groupe UDI, Agir et Indépendants",0.33333333333333337
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.1428571428571429
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.25
2019-03-15,"Groupe UDI, Agir et Indépendants",0.33333333333333337
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.04166666666666663
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.038461538461538436
2019-03-15,Groupe Les Républicains,0.125
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.16666666666666663
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.04166666666666663
2019-03-15,Groupe Les Républicains,0.16666666666666663
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.33333333333333337
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-14,Groupe La République en Marche,0.0714285714285714
2019-03-14,Groupe Les Républicains,0.0
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.33333333333333337
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,
2019-03-14,Groupe Libertés et Territoires,0.0
2019-03-14,Groupe La République en Marche,0.05882352941176472
2019-03-14,Groupe Les Républicains,0.1428571428571429
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.02631578947368418
2019-03-14,Groupe Les Républicains,0.0
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.19999999999999996
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.02857142857142858
2019-03-14,Groupe Les Républicains,0.19999999999999996
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.0
2019-03-14,Groupe Les Républicains,0.16666666666666663
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.02857142857142858
2019-03-14,Groupe Les Républicains,0.125
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.0
2019-03-14,Groupe Les Républicains,0.0
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.19999999999999996
2019-03-14,Groupe Socialistes et apparentés,0.33333333333333337
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.0
2019-03-14,Groupe Les Républicains,0.16666666666666663
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,
2019-03-14,Groupe La République en Marche,0.10526315789473684
2019-03-14,Groupe Les Républicains,0.4444444444444444
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",0.0
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,0.0
2019-03-14,Groupe La République en Marche,0.02631578947368418
2019-03-14,Groupe Les Républicains,0.11111111111111116
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.1428571428571429
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,0.33333333333333337
2019-03-14,Groupe La République en Marche,0.0
2019-03-14,Groupe Les Républicains,0.0
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,0.16666666666666663
2019-03-14,Groupe La République en Marche,0.0
2019-03-14,Groupe Les Républicains,0.1333333333333333
2019-03-14,Groupe du Mouvement Démocrate et apparentés,0.11111111111111116
2019-03-14,Groupe Socialistes et apparentés,0.0
2019-03-14,"Groupe UDI, Agir et Indépendants",
2019-03-14,Groupe La France insoumise,0.0
2019-03-14,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-14,Groupe Libertés et Territoires,0.16666666666666663
2019-03-13,Groupe La République en Marche,0.0
2019-03-13,Groupe Les Républicains,0.0
2019-03-13,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-13,Groupe Socialistes et apparentés,
2019-03-13,"Groupe UDI, Agir et Indépendants",
2019-03-13,Groupe La France insoumise,
2019-03-13,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-13,Groupe Libertés et Territoires,0.0
2019-03-13,Groupe La République en Marche,0.0
2019-03-13,Groupe Les Républicains,0.0
2019-03-13,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-13,Groupe Socialistes et apparentés,0.0
2019-03-13,"Groupe UDI, Agir et Indépendants",0.0
2019-03-13,Groupe La France insoumise,0.0
2019-03-13,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-13,Groupe Libertés et Territoires,
2019-03-13,Groupe La République en Marche,0.0
2019-03-13,Groupe Les Républicains,0.0357142857142857
2019-03-13,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-13,Groupe Socialistes et apparentés,0.0
2019-03-13,"Groupe UDI, Agir et Indépendants",0.0
2019-03-13,Groupe La France insoumise,0.0
2019-03-13,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-13,Groupe Libertés et Territoires,0.0
2019-03-12,Groupe La République en Marche,0.0
2019-03-12,Groupe Les Républicains,0.2222222222222222
2019-03-12,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-12,Groupe Socialistes et apparentés,0.0
2019-03-12,"Groupe UDI, Agir et Indépendants",0.0
2019-03-12,Groupe La France insoumise,0.0
2019-03-12,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-12,Groupe Libertés et Territoires,0.25
2019-03-12,Groupe La République en Marche,0.040000000000000036
2019-03-12,Groupe Les Républicains,0.0
2019-03-12,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-12,Groupe Socialistes et apparentés,0.0
2019-03-12,"Groupe UDI, Agir et Indépendants",0.4
2019-03-12,Groupe La France insoumise,
2019-03-12,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-12,Groupe Libertés et Territoires,0.0
2019-03-12,Groupe La République en Marche,0.015625
2019-03-12,Groupe Les Républicains,0.0
2019-03-12,Groupe du Mouvement Démocrate et apparentés,0.2857142857142857
2019-03-12,Groupe Socialistes et apparentés,0.0
2019-03-12,"Groupe UDI, Agir et Indépendants",0.0
2019-03-12,Groupe La France insoumise,
2019-03-12,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-12,Groupe Libertés et Territoires,0.0
2019-03-12,Groupe La République en Marche,0.09999999999999998
2019-03-12,Groupe Les Républicains,0.0
2019-03-12,Groupe du Mouvement Démocrate et apparentés,0.1428571428571429
2019-03-12,Groupe Socialistes et apparentés,0.0
2019-03-12,"Groupe UDI, Agir et Indépendants",0.0
2019-03-12,Groupe La France insoumise,
2019-03-12,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-12,Groupe Libertés et Territoires,0.0
2019-03-11,Groupe La République en Marche,0.038461538461538436
2019-03-11,Groupe Les Républicains,0.0
2019-03-11,Groupe du Mouvement Démocrate et apparentés,0.19999999999999996
2019-03-11,Groupe Socialistes et apparentés,0.0
2019-03-11,"Groupe UDI, Agir et Indépendants",0.0
2019-03-11,Groupe La France insoumise,
2019-03-11,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-11,Groupe Libertés et Territoires,0.0
2019-03-07,Groupe La République en Marche,0.0
2019-03-07,Groupe Les Républicains,
2019-03-07,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-07,Groupe Socialistes et apparentés,0.0
2019-03-07,"Groupe UDI, Agir et Indépendants",0.0
2019-03-07,Groupe La France insoumise,0.0
2019-03-07,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-07,Groupe Libertés et Territoires,0.0
2019-03-07,Groupe La République en Marche,0.0
2019-03-07,Groupe Les Républicains,0.0
2019-03-07,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-07,Groupe Socialistes et apparentés,0.0
2019-03-07,"Groupe UDI, Agir et Indépendants",0.0
2019-03-07,Groupe La France insoumise,0.0
2019-03-07,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-07,Groupe Libertés et Territoires,0.0
2019-03-07,Groupe La République en Marche,0.0
2019-03-07,Groupe Les Républicains,0.0
2019-03-07,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-07,Groupe Socialistes et apparentés,0.0
2019-03-07,"Groupe UDI, Agir et Indépendants",0.0
2019-03-07,Groupe La France insoumise,0.0
2019-03-07,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-07,Groupe Libertés et Territoires,0.0
2019-03-07,Groupe La République en Marche,0.054545454545454564
2019-03-07,Groupe Les Républicains,0.0
2019-03-07,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-07,Groupe Socialistes et apparentés,0.0
2019-03-07,"Groupe UDI, Agir et Indépendants",0.0
2019-03-07,Groupe La France insoumise,0.0
2019-03-07,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-07,Groupe Libertés et Territoires,0.0
2019-02-21,Groupe La République en Marche,0.0
2019-02-21,Groupe Les Républicains,0.0
2019-02-21,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-21,Groupe Socialistes et apparentés,0.0
2019-02-21,"Groupe UDI, Agir et Indépendants",0.0
2019-02-21,Groupe La France insoumise,0.0
2019-02-21,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-21,Groupe Libertés et Territoires,0.0
2019-02-21,Groupe La République en Marche,0.06451612903225812
2019-02-21,Groupe Les Républicains,0.0
2019-02-21,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-21,Groupe Socialistes et apparentés,0.0
2019-02-21,"Groupe UDI, Agir et Indépendants",0.0
2019-02-21,Groupe La France insoumise,0.0
2019-02-21,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-21,Groupe Libertés et Territoires,0.0
2019-02-21,Groupe La République en Marche,0.061224489795918324
2019-02-21,Groupe Les Républicains,0.4
2019-02-21,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-21,Groupe Socialistes et apparentés,0.0
2019-02-21,"Groupe UDI, Agir et Indépendants",0.0
2019-02-21,Groupe La France insoumise,0.0
2019-02-21,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-21,Groupe Libertés et Territoires,0.0
2019-02-21,Groupe La République en Marche,0.0
2019-02-21,Groupe Les Républicains,0.0
2019-02-21,Groupe du Mouvement Démocrate et apparentés,0.16666666666666663
2019-02-21,Groupe Socialistes et apparentés,0.0
2019-02-21,"Groupe UDI, Agir et Indépendants",0.0
2019-02-21,Groupe La France insoumise,0.0
2019-02-21,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-21,Groupe Libertés et Territoires,0.1428571428571429
2019-02-20,Groupe La République en Marche,0.01041666666666663
2019-02-20,Groupe Les Républicains,0.009615384615384581
2019-02-20,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-20,Groupe Socialistes et apparentés,0.0
2019-02-20,"Groupe UDI, Agir et Indépendants",0.1724137931034483
2019-02-20,Groupe La France insoumise,0.0
2019-02-20,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-20,Groupe Libertés et Territoires,0.1875
2019-02-19,Groupe La République en Marche,0.0
2019-02-19,Groupe Les Républicains,0.0
2019-02-19,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-19,Groupe Socialistes et apparentés,
2019-02-19,"Groupe UDI, Agir et Indépendants",0.0
2019-02-19,Groupe La France insoumise,0.0
2019-02-19,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-19,Groupe Libertés et Territoires,0.0
2019-02-19,Groupe La République en Marche,0.0034482758620689724
2019-02-19,Groupe Les Républicains,0.06796116504854366
2019-02-19,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-19,Groupe Socialistes et apparentés,0.0
2019-02-19,"Groupe UDI, Agir et Indépendants",0.4482758620689655
2019-02-19,Groupe La France insoumise,0.0
2019-02-19,Groupe de la Gauche démocrate et républicaine,0.125
2019-02-19,Groupe Libertés et Territoires,0.4375
2019-02-18,Groupe La République en Marche,0.0
2019-02-18,Groupe Les Républicains,0.0
2019-02-18,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-18,Groupe Socialistes et apparentés,0.0
2019-02-18,"Groupe UDI, Agir et Indépendants",0.0
2019-02-18,Groupe La France insoumise,
2019-02-18,Groupe de la Gauche démocrate et républicaine,
2019-02-18,Groupe Libertés et Territoires,0.0
2019-02-18,Groupe La République en Marche,0.04347826086956519
2019-02-18,Groupe Les Républicains,
2019-02-18,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-18,Groupe Socialistes et apparentés,0.0
2019-02-18,"Groupe UDI, Agir et Indépendants",
2019-02-18,Groupe La France insoumise,0.0
2019-02-18,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-18,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.35
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.0
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.040000000000000036
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.0
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,
2019-02-15,Groupe La République en Marche,0.0
2019-02-15,Groupe Les Républicains,0.1428571428571429
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.08333333333333337
2019-02-15,Groupe Les Républicains,
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.4
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.04347826086956519
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-02-15,Groupe Socialistes et apparentés,0.33333333333333337
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.04347826086956519
2019-02-15,Groupe Les Républicains,0.33333333333333337
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.4
2019-02-15,Groupe Socialistes et apparentés,0.0
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.0
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.19999999999999996
2019-02-15,Groupe Socialistes et apparentés,0.33333333333333337
2019-02-15,"Groupe UDI, Agir et Indépendants",0.0
2019-02-15,Groupe La France insoumise,0.0
2019-02-15,Groupe de la Gauche démocrate et républicaine,
2019-02-15,Groupe Libertés et Territoires,0.0
2019-02-15,Groupe La République en Marche,0.040000000000000036
2019-02-15,Groupe Les Républicains,0.0
2019-02-15,Groupe du Mouvement Démocrate et apparentés,0.4
2019-02-15,Groupe Socialistes et apparentés,0.25
