scrutin_id,date,group,pour,contre,abstention
1811,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1811,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1811,2019-03-22,"Groupe UDI, Agir et Indépendants",3,0,0
1811,2019-03-22,Groupe La France insoumise,1,0,0
1811,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1811,2019-03-22,Groupe Libertés et Territoires,1,0,0
1811,2019-03-22,Non inscrits,0,0,0
1810,2019-03-22,Groupe La République en Marche,1,38,1
1810,2019-03-22,Groupe Les Républicains,0,2,0
1810,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1810,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1810,2019-03-22,"Groupe UDI, Agir et Indépendants",0,0,3
1810,2019-03-22,Groupe La France insoumise,1,0,0
1810,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1810,2019-03-22,Groupe Libertés et Territoires,0,0,1
1810,2019-03-22,Non inscrits,0,0,0
1809,2019-03-22,Groupe La République en Marche,0,28,0
1809,2019-03-22,Groupe Les Républicains,0,3,1
1809,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,3,0
1809,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1809,2019-03-22,"Groupe UDI, Agir et Indépendants",0,2,0
1809,2019-03-22,Groupe La France insoumise,1,0,0
1809,2019-03-22,Groupe de la Gauche démocrate et républicaine,1,0,0
1809,2019-03-22,Groupe Libertés et Territoires,0,1,0
1809,2019-03-22,Non inscrits,0,0,0
1808,2019-03-22,Groupe La République en Marche,1,28,0
1808,2019-03-22,Groupe Les Républicains,0,2,0
1808,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1808,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1808,2019-03-22,"Groupe UDI, Agir et Indépendants",0,1,2
1808,2019-03-22,Groupe La France insoumise,1,0,0
1808,2019-03-22,Groupe de la Gauche démocrate et républicaine,1,0,0
1808,2019-03-22,Groupe Libertés et Territoires,0,0,1
1808,2019-03-22,Non inscrits,0,0,0
1807,2019-03-22,Groupe La République en Marche,27,0,0
1807,2019-03-22,Groupe Les Républicains,0,3,2
1807,2019-03-22,Groupe du Mouvement Démocrate et apparentés,4,0,0
1807,2019-03-22,Groupe Socialistes et apparentés,0,4,0
1807,2019-03-22,"Groupe UDI, Agir et Indépendants",0,3,1
1807,2019-03-22,Groupe La France insoumise,0,1,0
1807,2019-03-22,Groupe de la Gauche démocrate et républicaine,0,1,0
1807,2019-03-22,Groupe Libertés et Territoires,1,1,0
1807,2019-03-22,Non inscrits,0,0,1
1806,2019-03-22,Groupe La République en Marche,2,23,0
1806,2019-03-22,Groupe Les Républicains,4,0,1
1806,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1806,2019-03-22,Groupe Socialistes et apparentés,2,0,2
1806,2019-03-22,"Groupe UDI, Agir et Indépendants",3,0,0
1806,2019-03-22,Groupe La France insoumise,1,0,0
1806,2019-03-22,Groupe de la Gauche démocrate et républicaine,0,0,1
1806,2019-03-22,Groupe Libertés et Territoires,1,0,0
1806,2019-03-22,Non inscrits,1,0,0
1805,2019-03-22,Groupe La République en Marche,0,23,0
1805,2019-03-22,Groupe Les Républicains,3,0,0
1805,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1805,2019-03-22,Groupe Socialistes et apparentés,1,0,2
1805,2019-03-22,"Groupe UDI, Agir et Indépendants",4,0,0
1805,2019-03-22,Groupe La France insoumise,0,0,0
1805,2019-03-22,Groupe de la Gauche démocrate et républicaine,1,0,0
1805,2019-03-22,Groupe Libertés et Territoires,1,0,0
1805,2019-03-22,Non inscrits,1,1,0
1804,2019-03-22,Groupe La République en Marche,36,1,0
1804,2019-03-22,Groupe Les Républicains,0,1,3
1804,2019-03-22,Groupe du Mouvement Démocrate et apparentés,4,1,0
1804,2019-03-22,Groupe Socialistes et apparentés,0,2,0
1804,2019-03-22,"Groupe UDI, Agir et Indépendants",1,0,4
1804,2019-03-22,Groupe La France insoumise,1,0,0
1804,2019-03-22,Groupe de la Gauche démocrate et républicaine,0,3,0
1804,2019-03-22,Groupe Libertés et Territoires,1,0,1
1804,2019-03-22,Non inscrits,0,1,0
1803,2019-03-22,Groupe La République en Marche,0,37,0
1803,2019-03-22,Groupe Les Républicains,5,0,0
1803,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,5,0
1803,2019-03-22,Groupe Socialistes et apparentés,2,0,0
1803,2019-03-22,"Groupe UDI, Agir et Indépendants",1,1,3
1803,2019-03-22,Groupe La France insoumise,1,0,0
1803,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1803,2019-03-22,Groupe Libertés et Territoires,3,0,0
1803,2019-03-22,Non inscrits,1,0,0
1802,2019-03-22,Groupe La République en Marche,24,0,1
1802,2019-03-22,Groupe Les Républicains,4,0,0
1802,2019-03-22,Groupe du Mouvement Démocrate et apparentés,4,0,0
1802,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1802,2019-03-22,"Groupe UDI, Agir et Indépendants",5,0,0
1802,2019-03-22,Groupe La France insoumise,2,0,0
1802,2019-03-22,Groupe de la Gauche démocrate et républicaine,3,0,0
1802,2019-03-22,Groupe Libertés et Territoires,3,0,0
1802,2019-03-22,Non inscrits,1,0,0
1801,2019-03-22,Groupe La République en Marche,36,0,0
1801,2019-03-22,Groupe Les Républicains,5,0,0
1801,2019-03-22,Groupe du Mouvement Démocrate et apparentés,6,0,0
1801,2019-03-22,Groupe Socialistes et apparentés,0,0,1
1801,2019-03-22,"Groupe UDI, Agir et Indépendants",3,0,0
1801,2019-03-22,Groupe La France insoumise,0,0,3
1801,2019-03-22,Groupe de la Gauche démocrate et républicaine,0,0,2
1801,2019-03-22,Groupe Libertés et Territoires,1,0,2
1801,2019-03-22,Non inscrits,1,0,0
1800,2019-03-22,Groupe La République en Marche,2,32,1
1800,2019-03-22,Groupe Les Républicains,5,0,0
1800,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,6,0
1800,2019-03-22,Groupe Socialistes et apparentés,0,0,1
1800,2019-03-22,"Groupe UDI, Agir et Indépendants",0,0,3
1800,2019-03-22,Groupe La France insoumise,3,0,0
1800,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1800,2019-03-22,Groupe Libertés et Territoires,3,0,0
1800,2019-03-22,Non inscrits,1,0,0
1799,2019-03-22,Groupe La République en Marche,1,28,1
1799,2019-03-22,Groupe Les Républicains,0,1,3
1799,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,6,0
1799,2019-03-22,Groupe Socialistes et apparentés,2,0,0
1799,2019-03-22,"Groupe UDI, Agir et Indépendants",3,0,0
1799,2019-03-22,Groupe La France insoumise,1,0,0
1799,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1799,2019-03-22,Groupe Libertés et Territoires,3,0,0
1799,2019-03-22,Non inscrits,1,0,0
1798,2019-03-21,Groupe La République en Marche,0,35,2
1798,2019-03-21,Groupe Les Républicains,6,0,0
1798,2019-03-21,Groupe du Mouvement Démocrate et apparentés,1,3,0
1798,2019-03-21,Groupe Socialistes et apparentés,5,0,0
1798,2019-03-21,"Groupe UDI, Agir et Indépendants",2,0,0
1798,2019-03-21,Groupe La France insoumise,3,0,0
1798,2019-03-21,Groupe de la Gauche démocrate et républicaine,2,0,0
1798,2019-03-21,Groupe Libertés et Territoires,2,0,0
1798,2019-03-21,Non inscrits,1,0,0
1797,2019-03-21,Groupe La République en Marche,1,17,0
1797,2019-03-21,Groupe Les Républicains,6,0,0
1797,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,2,0
1797,2019-03-21,Groupe Socialistes et apparentés,0,0,3
1797,2019-03-21,"Groupe UDI, Agir et Indépendants",0,0,3
1797,2019-03-21,Groupe La France insoumise,0,0,0
1797,2019-03-21,Groupe de la Gauche démocrate et républicaine,0,0,0
1797,2019-03-21,Groupe Libertés et Territoires,0,0,0
1797,2019-03-21,Non inscrits,1,0,0
1796,2019-03-21,Groupe La République en Marche,3,28,4
1796,2019-03-21,Groupe Les Républicains,4,3,1
1796,2019-03-21,Groupe du Mouvement Démocrate et apparentés,4,0,0
1796,2019-03-21,Groupe Socialistes et apparentés,1,0,0
1796,2019-03-21,"Groupe UDI, Agir et Indépendants",5,0,0
1796,2019-03-21,Groupe La France insoumise,0,0,1
1796,2019-03-21,Groupe de la Gauche démocrate et républicaine,0,0,0
1796,2019-03-21,Groupe Libertés et Territoires,4,0,0
1796,2019-03-21,Non inscrits,0,0,0
1795,2019-03-21,Groupe La République en Marche,32,7,2
1795,2019-03-21,Groupe Les Républicains,9,1,0
1795,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,0
1795,2019-03-21,Groupe Socialistes et apparentés,0,4,0
1795,2019-03-21,"Groupe UDI, Agir et Indépendants",0,2,3
1795,2019-03-21,Groupe La France insoumise,0,1,0
1795,2019-03-21,Groupe de la Gauche démocrate et républicaine,0,2,0
1795,2019-03-21,Groupe Libertés et Territoires,0,4,0
1795,2019-03-21,Non inscrits,1,0,0
1794,2019-03-21,Groupe La République en Marche,37,4,5
1794,2019-03-21,Groupe Les Républicains,10,1,0
1794,2019-03-21,Groupe du Mouvement Démocrate et apparentés,6,0,1
1794,2019-03-21,Groupe Socialistes et apparentés,0,5,0
1794,2019-03-21,"Groupe UDI, Agir et Indépendants",3,0,1
1794,2019-03-21,Groupe La France insoumise,0,4,0
1794,2019-03-21,Groupe de la Gauche démocrate et républicaine,0,3,0
1794,2019-03-21,Groupe Libertés et Territoires,3,1,0
1794,2019-03-21,Non inscrits,1,0,0
1793,2019-03-21,Groupe La République en Marche,0,45,0
1793,2019-03-21,Groupe Les Républicains,11,0,1
1793,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,8,0
1793,2019-03-21,Groupe Socialistes et apparentés,0,5,0
1793,2019-03-21,"Groupe UDI, Agir et Indépendants",0,1,1
1793,2019-03-21,Groupe La France insoumise,2,0,0
1793,2019-03-21,Groupe de la Gauche démocrate et républicaine,0,2,0
1793,2019-03-21,Groupe Libertés et Territoires,1,0,1
1793,2019-03-21,Non inscrits,1,0,0
1792,2019-03-21,Groupe La République en Marche,40,1,0
1792,2019-03-21,Groupe Les Républicains,7,0,0
1792,2019-03-21,Groupe du Mouvement Démocrate et apparentés,6,0,0
1792,2019-03-21,Groupe Socialistes et apparentés,2,0,0
1792,2019-03-21,"Groupe UDI, Agir et Indépendants",2,0,0
1792,2019-03-21,Groupe La France insoumise,1,0,0
1792,2019-03-21,Groupe de la Gauche démocrate et républicaine,1,0,0
1792,2019-03-21,Groupe Libertés et Territoires,0,0,0
1792,2019-03-21,Non inscrits,0,0,0
1791,2019-03-21,Groupe La République en Marche,6,37,4
1791,2019-03-21,Groupe Les Républicains,0,8,1
1791,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,6,0
1791,2019-03-21,Groupe Socialistes et apparentés,3,0,0
1791,2019-03-21,"Groupe UDI, Agir et Indépendants",0,2,0
1791,2019-03-21,Groupe La France insoumise,1,0,0
1791,2019-03-21,Groupe de la Gauche démocrate et républicaine,1,0,0
1791,2019-03-21,Groupe Libertés et Territoires,3,0,0
1791,2019-03-21,Non inscrits,0,0,0
1790,2019-03-21,Groupe La République en Marche,2,59,1
1790,2019-03-21,Groupe Les Républicains,6,5,3
1790,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,0
1790,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1790,2019-03-21,"Groupe UDI, Agir et Indépendants",2,0,2
1790,2019-03-21,Groupe La France insoumise,1,0,0
1790,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1790,2019-03-21,Groupe Libertés et Territoires,2,2,0
1790,2019-03-21,Non inscrits,0,2,0
1789,2019-03-21,Groupe La République en Marche,1,57,3
1789,2019-03-21,Groupe Les Républicains,3,5,1
1789,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,0
1789,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1789,2019-03-21,"Groupe UDI, Agir et Indépendants",2,0,2
1789,2019-03-21,Groupe La France insoumise,1,0,0
1789,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1789,2019-03-21,Groupe Libertés et Territoires,2,2,0
1789,2019-03-21,Non inscrits,1,1,0
1788,2019-03-21,Groupe La République en Marche,1,58,2
1788,2019-03-21,Groupe Les Républicains,4,7,1
1788,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,0
1788,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1788,2019-03-21,"Groupe UDI, Agir et Indépendants",3,0,1
1788,2019-03-21,Groupe La France insoumise,1,0,0
1788,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1788,2019-03-21,Groupe Libertés et Territoires,2,2,0
1788,2019-03-21,Non inscrits,0,2,0
1787,2019-03-21,Groupe La République en Marche,1,58,4
1787,2019-03-21,Groupe Les Républicains,4,7,2
1787,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,0
1787,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1787,2019-03-21,"Groupe UDI, Agir et Indépendants",3,0,1
1787,2019-03-21,Groupe La France insoumise,1,0,0
1787,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1787,2019-03-21,Groupe Libertés et Territoires,2,2,0
1787,2019-03-21,Non inscrits,0,2,0
1786,2019-03-21,Groupe La République en Marche,1,60,2
1786,2019-03-21,Groupe Les Républicains,5,5,3
1786,2019-03-21,Groupe du Mouvement Démocrate et apparentés,0,4,1
1786,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1786,2019-03-21,"Groupe UDI, Agir et Indépendants",2,0,2
1786,2019-03-21,Groupe La France insoumise,1,0,0
1786,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1786,2019-03-21,Groupe Libertés et Territoires,2,2,0
1786,2019-03-21,Non inscrits,0,2,0
1785,2019-03-21,Groupe La République en Marche,2,58,3
1785,2019-03-21,Groupe Les Républicains,5,7,1
1785,2019-03-21,Groupe du Mouvement Démocrate et apparentés,1,4,0
1785,2019-03-21,Groupe Socialistes et apparentés,4,0,0
1785,2019-03-21,"Groupe UDI, Agir et Indépendants",3,0,1
1785,2019-03-21,Groupe La France insoumise,1,0,0
1785,2019-03-21,Groupe de la Gauche démocrate et républicaine,3,0,0
1785,2019-03-21,Groupe Libertés et Territoires,2,2,0
1785,2019-03-21,Non inscrits,0,2,0
1784,2019-03-20,Groupe La République en Marche,1,68,0
1784,2019-03-20,Groupe Les Républicains,2,7,4
1784,2019-03-20,Groupe du Mouvement Démocrate et apparentés,0,7,0
1784,2019-03-20,Groupe Socialistes et apparentés,3,0,0
1784,2019-03-20,"Groupe UDI, Agir et Indépendants",3,1,1
1784,2019-03-20,Groupe La France insoumise,2,0,0
1784,2019-03-20,Groupe de la Gauche démocrate et républicaine,2,0,0
1784,2019-03-20,Groupe Libertés et Territoires,4,3,0
1784,2019-03-20,Non inscrits,0,1,0
1783,2019-03-20,Groupe La République en Marche,0,69,1
1783,2019-03-20,Groupe Les Républicains,2,8,4
1783,2019-03-20,Groupe du Mouvement Démocrate et apparentés,1,7,0
1783,2019-03-20,Groupe Socialistes et apparentés,4,0,0
1783,2019-03-20,"Groupe UDI, Agir et Indépendants",3,1,1
1783,2019-03-20,Groupe La France insoumise,2,0,0
1783,2019-03-20,Groupe de la Gauche démocrate et républicaine,0,0,2
1783,2019-03-20,Groupe Libertés et Territoires,4,3,0
1783,2019-03-20,Non inscrits,0,1,0
1782,2019-03-20,Groupe La République en Marche,0,69,2
1782,2019-03-20,Groupe Les Républicains,8,7,2
1782,2019-03-20,Groupe du Mouvement Démocrate et apparentés,1,7,0
1782,2019-03-20,Groupe Socialistes et apparentés,2,0,0
1782,2019-03-20,"Groupe UDI, Agir et Indépendants",3,1,1
1782,2019-03-20,Groupe La France insoumise,0,0,2
1782,2019-03-20,Groupe de la Gauche démocrate et républicaine,0,0,1
1782,2019-03-20,Groupe Libertés et Territoires,4,3,0
1782,2019-03-20,Non inscrits,0,1,0
1781,2019-03-20,Groupe La République en Marche,0,67,3
1781,2019-03-20,Groupe Les Républicains,8,7,2
1781,2019-03-20,Groupe du Mouvement Démocrate et apparentés,1,7,0
1781,2019-03-20,Groupe Socialistes et apparentés,4,0,0
1781,2019-03-20,"Groupe UDI, Agir et Indépendants",3,1,1
1781,2019-03-20,Groupe La France insoumise,0,0,2
1781,2019-03-20,Groupe de la Gauche démocrate et républicaine,0,0,2
1781,2019-03-20,Groupe Libertés et Territoires,4,3,0
1781,2019-03-20,Non inscrits,0,1,0
1780,2019-03-20,Groupe La République en Marche,0,67,4
1780,2019-03-20,Groupe Les Républicains,8,7,2
1780,2019-03-20,Groupe du Mouvement Démocrate et apparentés,1,7,0
1780,2019-03-20,Groupe Socialistes et apparentés,4,0,0
1780,2019-03-20,"Groupe UDI, Agir et Indépendants",3,1,1
1780,2019-03-20,Groupe La France insoumise,0,0,2
1780,2019-03-20,Groupe de la Gauche démocrate et républicaine,0,0,2
1780,2019-03-20,Groupe Libertés et Territoires,4,3,0
1780,2019-03-20,Non inscrits,0,1,0
1779,2019-03-20,Groupe La République en Marche,11,65,3
1779,2019-03-20,Groupe Les Républicains,6,9,2
1779,2019-03-20,Groupe du Mouvement Démocrate et apparentés,2,6,0
1779,2019-03-20,Groupe Socialistes et apparentés,5,0,0
1779,2019-03-20,"Groupe UDI, Agir et Indépendants",8,0,0
1779,2019-03-20,Groupe La France insoumise,4,0,0
1779,2019-03-20,Groupe de la Gauche démocrate et républicaine,5,0,0
1779,2019-03-20,Groupe Libertés et Territoires,4,0,0
1779,2019-03-20,Non inscrits,0,1,0
1778,2019-03-20,Groupe La République en Marche,0,58,3
1778,2019-03-20,Groupe Les Républicains,16,1,7
1778,2019-03-20,Groupe du Mouvement Démocrate et apparentés,0,6,0
1778,2019-03-20,Groupe Socialistes et apparentés,7,1,0
1778,2019-03-20,"Groupe UDI, Agir et Indépendants",9,0,0
1778,2019-03-20,Groupe La France insoumise,2,0,0
1778,2019-03-20,Groupe de la Gauche démocrate et républicaine,6,0,0
1778,2019-03-20,Groupe Libertés et Territoires,4,0,0
1778,2019-03-20,Non inscrits,0,0,0
1777,2019-03-19,Groupe La République en Marche,6,36,2
1777,2019-03-19,Groupe Les Républicains,1,2,3
1777,2019-03-19,Groupe du Mouvement Démocrate et apparentés,0,0,0
1777,2019-03-19,Groupe Socialistes et apparentés,4,0,0
1777,2019-03-19,"Groupe UDI, Agir et Indépendants",3,0,0
1777,2019-03-19,Groupe La France insoumise,1,0,0
1777,2019-03-19,Groupe de la Gauche démocrate et républicaine,3,0,0
1777,2019-03-19,Groupe Libertés et Territoires,2,0,0
1777,2019-03-19,Non inscrits,1,0,0
1776,2019-03-19,Groupe La République en Marche,80,0,0
1776,2019-03-19,Groupe Les Républicains,3,7,5
1776,2019-03-19,Groupe du Mouvement Démocrate et apparentés,4,0,0
1776,2019-03-19,Groupe Socialistes et apparentés,4,0,0
1776,2019-03-19,"Groupe UDI, Agir et Indépendants",3,1,4
1776,2019-03-19,Groupe La France insoumise,0,0,3
1776,2019-03-19,Groupe de la Gauche démocrate et républicaine,0,0,4
1776,2019-03-19,Groupe Libertés et Territoires,2,1,0
1776,2019-03-19,Non inscrits,1,2,0
1775,2019-03-19,Groupe La République en Marche,0,80,1
1775,2019-03-19,Groupe Les Républicains,18,0,0
1775,2019-03-19,Groupe du Mouvement Démocrate et apparentés,0,4,0
1775,2019-03-19,Groupe Socialistes et apparentés,4,1,0
1775,2019-03-19,"Groupe UDI, Agir et Indépendants",9,0,0
1775,2019-03-19,Groupe La France insoumise,3,0,0
1775,2019-03-19,Groupe de la Gauche démocrate et républicaine,4,0,0
1775,2019-03-19,Groupe Libertés et Territoires,5,0,0
1775,2019-03-19,Non inscrits,2,1,0
1774,2019-03-19,Groupe La République en Marche,6,72,1
1774,2019-03-19,Groupe Les Républicains,17,1,2
1774,2019-03-19,Groupe du Mouvement Démocrate et apparentés,7,2,0
1774,2019-03-19,Groupe Socialistes et apparentés,10,0,0
1774,2019-03-19,"Groupe UDI, Agir et Indépendants",11,0,0
1774,2019-03-19,Groupe La France insoumise,4,0,0
1774,2019-03-19,Groupe de la Gauche démocrate et républicaine,4,0,1
1774,2019-03-19,Groupe Libertés et Territoires,7,0,0
1774,2019-03-19,Non inscrits,3,0,0
1773,2019-03-19,Groupe La République en Marche,52,1,0
1773,2019-03-19,Groupe Les Républicains,1,0,20
1773,2019-03-19,Groupe du Mouvement Démocrate et apparentés,5,0,0
1773,2019-03-19,Groupe Socialistes et apparentés,10,0,0
1773,2019-03-19,"Groupe UDI, Agir et Indépendants",3,0,0
1773,2019-03-19,Groupe La France insoumise,2,0,0
1773,2019-03-19,Groupe de la Gauche démocrate et républicaine,4,0,0
1773,2019-03-19,Groupe Libertés et Territoires,0,5,0
1773,2019-03-19,Non inscrits,0,0,2
1772,2019-03-19,Groupe La République en Marche,1,46,1
1772,2019-03-19,Groupe Les Républicains,14,0,0
1772,2019-03-19,Groupe du Mouvement Démocrate et apparentés,5,1,0
1772,2019-03-19,Groupe Socialistes et apparentés,3,0,1
1772,2019-03-19,"Groupe UDI, Agir et Indépendants",9,0,0
1772,2019-03-19,Groupe La France insoumise,0,0,3
1772,2019-03-19,Groupe de la Gauche démocrate et républicaine,0,0,1
1772,2019-03-19,Groupe Libertés et Territoires,3,0,0
1772,2019-03-19,Non inscrits,1,0,0
1771,2019-03-19,Groupe La République en Marche,6,47,6
1771,2019-03-19,Groupe Les Républicains,7,2,7
1771,2019-03-19,Groupe du Mouvement Démocrate et apparentés,3,0,3
1771,2019-03-19,Groupe Socialistes et apparentés,7,0,0
1771,2019-03-19,"Groupe UDI, Agir et Indépendants",7,1,0
1771,2019-03-19,Groupe La France insoumise,4,0,0
1771,2019-03-19,Groupe de la Gauche démocrate et républicaine,4,0,0
1771,2019-03-19,Groupe Libertés et Territoires,5,0,0
1771,2019-03-19,Non inscrits,1,0,0
1770,2019-03-19,Groupe La République en Marche,2,43,1
1770,2019-03-19,Groupe Les Républicains,15,0,0
1770,2019-03-19,Groupe du Mouvement Démocrate et apparentés,3,3,0
1770,2019-03-19,Groupe Socialistes et apparentés,5,0,0
1770,2019-03-19,"Groupe UDI, Agir et Indépendants",6,0,0
1770,2019-03-19,Groupe La France insoumise,0,1,0
1770,2019-03-19,Groupe de la Gauche démocrate et républicaine,0,0,0
1770,2019-03-19,Groupe Libertés et Territoires,6,0,0
1770,2019-03-19,Non inscrits,3,0,0
1769,2019-03-19,Groupe La République en Marche,60,1,8
